Funds,"Factsheet / Offering Material 
(via Fundinfo)","Fund Specific Materials 
(via Intranet) ",Fund Watch List,Base Ccy,Last Bloomberg Update,1 Mth Return (%),3 Mths Return (%),YTD Return (%),1 Yr Return (%),3 Yr Ann Return (%),5 Yr Ann Return (%),"3 Yr Ann Std Dev 
(%)",Inception Date,ISIN (base ccy),BB Ticker (base ccy),Other share classes available,Use of Derivatives (as a principal driver),Is this a High Yield Bond Fund (Yes/No),Risk Rating ,AR*,SG MAS Registered,SG Restricted,HK SFC Authorization,UK Registered,Offering In DIFC Allowed?*,UCITS,"Fund House Max Sales Charge
BOS Fee Schedule applies - Min USD375 Max up to 2% upfront fee",Investment Objective,Investment Tenor,Investment Time Horizon,"Dealing Frequency (Subscription)

Refer to Funds Identifier tab for Notice Period","Dealing Frequency (Redemption)

Refer to Funds Identifier tab for Notice Period",Loss Absorption Product,Complex Product,Remarks,
"Wellington Global Health Care Equity D
(subject to quota availability, please check before placing orders)",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B00LSD17,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Wellington/Global%20Healthcare%20Equity%20Fund,No,USD,10/10/19,-4.48,-5.96,6.53,-2.69,5.91,7.96,16.18,9/30/2006,IE00B00LSD17,WGHCEPB EQUITY,"USD Acc , EUR Acc , CHF Acc  ",No,No,4,60%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,No max,Capital Appreciation,N/A,> 5 years,"Daily, but subject to quota availability, please check before placing orders.",Daily,No,No,"BOS Fee Schedule applies - Min USD375, Max up to 2% upfront fee", 
Equity - Global Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Morgan Stanley Global Property A USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0266114312,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Morgan%20Stanley/Global%20Property%20Fund,No,USD,10/10/19,0.88,-2.18,11.06,7.37,3.94,3.17,10.78,10/31/2006,LU0266114312,MORGPRA LX EQUITY,"USD Acc , EUR Acc  (H)",No,No,4,55%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.75%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Invesco Global Real Estate Secs A AD USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU1775976944,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Invesco/Invesco%20Global%20Real%20Estate%20Securities,Yes,USD,10/10/19,1.83,0.55,19.16,16.03,5.85,N/A,10.62,8/10/18,LU1775976944,IVRESAA LX Equity,"UDS Acc, USD Dis (Ann), EUR Acc , GBP Dis (Ann)",No,No,4,55%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Neuberger Berman US Real Estate Sec USD A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B0T0GQ85,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Neuberger%20Berman/US%20Real%20Estate%20Securities%20Fund,No,USD,10/10/19,2.5,5.8,31.07,30.63,10.52,8.78,11.8,2/1/06,IE00B0T0GQ85,NBIUSRA ID EQUITY,"USD Acc , USD Dis  (Qter) , CHF Acc  (H) , EUR Acc  (H) , SGD Acc  (H)",No,No,4,45%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Pictet - Premium Brands-P EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0217139020,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Pictet/Premium%20Brands,Yes,EUR,10/10/19,-0.98,-0.28,24.21,16.95,11.39,7.76,10.83,5/31/2005,LU0217139020,PPGPMBP LX EQUITY,"EUR Acc , EUR Dis (Ann) , USD Acc , USD Acc  (H) , SGD Acc  (H) , GBP Dis (Ann) , CHF Acc  (H)",No,No,4,55%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - Consumer Staples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Fidelity Funds - Gl Consumer Indust A-EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0114721508,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Fidelity/Fidelity%20Global%20Consumer%20Industries%20Fund,No,EUR,10/10/19,-1.91,-1.04,22.79,19.28,10.29,12.03,10.84,9/1/00,LU0114721508,FIDCIFE LX EQUITY,EUR Dis (Ann),No,No,4,55%,Yes,"Retail
(Recognized)",SFC Authorized,No,Yes,Yes,5.25%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - Asian Domestic Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Invesco Asia Consumer Demand A Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0334857355,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Invesco/Invesco%20Asia%20Consumer%20Demand%20Fund,No,USD,10/10/19,-2.25,-1.65,7.85,7.77,4.75,2.86,16.33,3/25/2008,LU0334857355,INVASAC LX EQUITY,"USD Acc , USD Dis (Semi-Ann) , EUR Acc  (H)",No,No,4,50%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - Financials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Robeco New World Financial Equity EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0187077481,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Robeco/New%20World%20Financial%20Equity%20EUR,No,EUR,10/9/19,-4.05,-5.16,20.54,9.14,11.99,9.15,13.58,6/3/98,LU0187077481,RGCGFFD LX EQUITY,"USD Acc , EUR Acc, EUR Dis (Ann)",No,No,4,55%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Money Markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
BGF Institutional US Dollar Liquidity Fund USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE0004810143,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20Institutional%20US%20Dollar%20Liquidity%20Fund%20USD,No,USD,10/10/19,0.16,0.54,1.85,2.38,1.69,1.09,0.19,12/21/1998,IE0004810143,MLMIUSA ID EQUITY,USD Acc  ,No,No,1,90%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,No charge,Capital Preservation,Up to 1 year,Any investment time horizon,Daily,Daily,No,No,"BOS Fee Schedule applies - Min USD375, Max up to 2% upfront fee", 
BNP Paribas InstiCash USD 1D Short Term VNAV,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0167238863,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/BNP/BNP%20Insticash%20USD,No,USD,10/10/19,0.15,0.51,1.86,2.38,1.71,1.1,0.19,5/16/2003,LU0167238863,BNPIMUC LX EQUITY,USD Acc  ,No,No,1,90%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,No charge,Capital Preservation,Up to 1 year,Any investment time horizon,Daily,Daily,No,No,"BOS Fee Schedule applies - Min USD375, Max up to 2% upfront fee", 
Pictet - ShortTerm Money Market USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0128497889,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Pictet/Short%20Term%20Money%20Market%20USD,No,USD,10/10/19,0.17,0.52,1.73,2.29,1.66,1.11,0.19,5/8/01,LU0128497889,PIPUSDR LX EQUITY,USD Acc  ,No,No,1,90%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,No charge,Capital Preservation,Up to 1 year,Any investment time horizon,Daily,Daily,No,No,"BOS Fee Schedule applies - Min USD375, Max up to 2% upfront fee", 
Goldman Sachs US$ Liquid Reserves Fund USD Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE0031297975,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Goldman%20Sachs/Goldman%20Sachs%20US%24%20Liquid%20Reserves%20Fund,No,USD,10/10/19,0.16,0.52,1.79,2.29,1.59,1.01,0.18,2/27/2002,IE0031297975,GSUSLPA ID EQUITY,USD Acc  ,No,No,1,85%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,No charge,Capital Preservation,Up to 1 year,Any investment time horizon,Daily,Daily,No,No,"BOS Fee Schedule applies - Min USD375, Max up to 2% upfront fee", 
BNP Paribas InstiCash EUR 1D Short Term VNAV,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0167237543,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/BNP/BNP%20Insticash%20Fund%20EUR,No,EUR,10/10/19,-0.04,-0.12,-0.35,-0.46,-0.47,-0.34,0.01,5/15/2003,LU0167237543,BNPICMC LX EQUITY,EUR Acc  ,No,No,1,85%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,No charge,Capital Preservation,Up to 1 year,Any investment time horizon,Daily,Daily,No,No,"BOS Fee Schedule applies - Min USD375, Max up to 2% upfront fee", 
UBS (Lux) Money Market Fund - AUD P-acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0066649970,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/UBS/UBS%20(Lux)%20Money%20Market%20Fund%20-%20AUD,No,AUD,10/9/19,0.09,0.24,1.17,1.47,1.29,1.46,0.09,8/20/1992,LU0066649970,UBSMMKA LX EQUITY,AUD Acc  ,No,No,1,85%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,2.00%,Capital Preservation,Up to 1 year,Any investment time horizon,Daily,Daily,No,No,, 
BNP Paribas InstiCash GBP 1D Short Term VNAV,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0167236651,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/BNP/BNP%20Insticash%20Fund%20GBP,No,GBP,10/10/19,0.04,0.13,0.43,0.56,0.31,0.3,0.06,5/15/2003,LU0167236651,BNPISBC LX EQUITY,GBP Acc  ,No,No,1,85%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,No charge,Capital Preservation,Up to 1 year,Any investment time horizon,Daily,Daily,No,No,"BOS Fee Schedule applies - Min USD375, Max up to 2% upfront fee", 
LionGlobal SGD Money Market,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999002760,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Lion/LionGlobal%20SGD%20MM,No,SGD,10/10/19,0.15,0.41,1.26,1.6,1.2,1.12,0.1,10/29/1999,SG9999002760,OCBSGDM SP EQUITY,SGD Acc  (H),No,No,1,90%,Yes,"Retail
(Authorized)",SFC Unauthorized,No,Yes,No,5.00%,Capital Preservation,Up to 1 year,Any investment time horizon,Daily,Daily,No,Yes,, 
Closed Ended Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
EW Global Deposits Fund SP,NA,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Edelweiss/EW%20Global%20Deposits%20Fund%20SP,No,USD,4/15/2019,0,0,N/A,N/A,N/A,N/A,N/A,4/15/2019,KYG6363A1242,MSOEWGD KY Equity,NA,No,No,5,0%,Yes,Restricted,SFC Unauthorized,No,"Yes, if Suitable",No,2.00%,Income Generation,1 year,> 1 year,Closed,Daily redemption with up to 5% exit fee and other charges and fees applicable - Subject to approval by manager.,No,Yes,Redemption fee: Up to 5% of NAV; and it may be reduced or waived at the sole discretion of the Directors of the Fund in consultation with the Manager. Please refer to pg 10-12  �Charges and Fees� in page of the Multi Strategy Opportunities SPC Appendix dated 9 April 2019 relating to EW Global Deposits Funds SP for other charges that may apply. ,
"Invesco US Senior Loans 2021
(HY Bond Fund, restrictions apply)#",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=KYG4923R1092,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Invesco/Invesco%20US%20Senior%20Loans%202021,No,USD,10/9/19,-0.41,0.05,5.58,1.97,N/A,N/A,N/A,2/2/17,KYG4923R1092,INVUSLU KY EQUITY,"USD Dis  (Mth) , SGD Dis  (Mth) (H)",No,Yes,5,75%,Yes,Restricted,SFC Unauthorized,No,"Yes, if Suitable",No,,Income Generation,4 years,> 1 year,Closed,Daily redemption with 1% exit fee,No,Yes,"4 year fixed maturity fund. Daily redemption, subject to 1% early termination charge. Front Office staff should ensure that client's investment horizon is in line with the fund's investment tenor.", 
Legg Mason Western Asset Diversified Global Credit Fixed Maturity Bond Fund Series 3,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00BJR5ZG17,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Legg Mason/Legg%20Mason%20Western%20Asset%20Diversified%20Global%20Credit%20Fixed%20Maturity%20Bond%20Fund%20Series%203,No,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,IE00BJR5ZG17,TBC,"USD Acc, USD Dis(Qter), SGD Dis(Qter) (H), HKD Dis(Qter), AUD  Dis(Qter) (H), GBP Dis(Qter) (H)",No,No,2,80% (subject to 20% concentration limit),Yes,Restricted,SFC Unauthorized,No,Yes,Yes,5.00%,Income Generation,4 years,> 1 year,,Daily redemption with up to 0.5% exit fee,No,No,"4 yrs fixed maturity fund. Daily redemption subject to 0.50% exit fee.
Front Office staff should ensure that client's investment horizon is in line with the fund's investment tenor.", 
"Lion-Bank of Singapore Emerging Market Bond Fund 2021 USD Acc
(HY Bond Fund, restrictions apply)#",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999015598,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Lion/Lion-BOS%20EM%20Bond%20Fund%202021,No,USD,10/9/19,0.65,-0.17,5.65,6.21,2.9,N/A,2.5,8/1/16,SG9999015598,LBSEMUD SP Equity,"USD Acc , USD Dis  (Qter) , SGD Acc  (H) , SGD Dis  (Qter) (H) , AUD Acc  (H) , AUD Dis  (Qter) (H)",No,Yes,4,75%,Yes,Restricted,SFC Unauthorized,No,Yes,No,3.00%,Income Generation,5 years,> 1 year,Closed,Daily redemption with 0.5% exit fee,No,Yes,"5 yrs fixed maturity fund. Daily redemption subject to 0.50% exit fee.
Front Office staff should ensure that client's investment horizon is in line with the fund's investment tenor.", 
UBS Asian Bonds 2020 Segregated Portfolio,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=KYG9177W5064,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/UBS/Asian%20Bonds%202020%20Segregated%20Portfolio,No,USD,10/9/19,0.28,0.18,3.94,4.84,2.86,N/A,1.52,6/17/2016,KYG9177W5064,UBAB2AU KY Equity,"USD Acc , USD Dis , USD Acc , USD Dis  ",No,No,5,80%,Yes,Restricted,SFC Unauthorized,No,"Yes, if Suitable",No,3.00%,Income Generation,4 years,> 1 year,Closed,Daily redemption with 0.5% exit fee,No,Yes,"4 yrs fixed maturity fund. Daily redemption subject to 0.5% exit fee.
Front Office staff should ensure that client's investment horizon is in line with the fund's investment tenor.", 
UBS Asian Bonds Series 3 (USD),https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=KYG9344R2249,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/UBS/UBS%20Asian%20Bonds%20Series%203,No,USD,10/9/19,0.59,0.03,N/A,N/A,N/A,N/A,N/A,4/15/2019,KYG9344R2249,UA3AQUS KY Equity,"USD Dis, SGD H Dis, HKD Dis",No,No,3,80%,Yes,Restricted,SFC Unauthorized,No,Yes,No,3.00%,Income Generation,4 years,> 1 year,Closed,Daily redemption with maximum 1% exit fee (currently at 0.5%),No,Yes,4 yrs fixed maturity fund. Daily redemption with maximum 1% exit fee (currently at 0.5%). Front Office staff should ensure that client's investment horizon is in line with the fund's investment tenor., 
UBS Asian Bonds Series 4 (USD),https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=KYG9344R2991,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/UBS/UBS%20Asian%20Bonds%20Series%204,No,USD,10/9/19,0.9,0.95,N/A,N/A,N/A,N/A,N/A,5/31/2019,KYG9344R2991,UAB4AQU KY Equity,"USD Dis, SGD H Dis, HKD Dis",No,No,3,80%,Yes,Restricted,SFC Unauthorized,No,Yes,No,3.00%,Income Generation,4.5 years,> 1 year,Closed,Daily redemption with maximum 1% exit fee (currently at 0.5%),No,Yes,4.5 yrs fixed maturity fund. Daily redemption with maximum 1% exit fee (currently at 0.5%). Front Office staff should ensure that client's investment horizon is in line with the fund's investment tenor., 
Hedge Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Please ensure you have done the Hedge Fund-specific online training and quiz before marketing any Hedge Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds - Global Macro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Goldman Sachs Global Strategic Macro Bond Portfolio,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU1111995400,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Goldman%20Sachs/Goldman%20Sachs%20Global%20Strategic%20Macro%20Bond%20Portfolio,No,USD,10/10/19,0.63,-2.98,2.2,2.42,0.48,N/A,3.64,10/22/2014,LU1111995400,GSMBBAU LX EQUITY,"USD Acc , USD Dis (Ann) , EUR Acc  (H) , GBP Acc  (H)",Yes,No,5,25%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.50%,Capital Appreciation,N/A,> 10 years,Daily,Daily,No,Yes,Daily Liquidity, 
"H2O Multibonds Fund
(Super retail share class)",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=FR0013393329,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/H2O/H2O%20Multibonds%20Fund,Yes,EUR,10/9/19,2.14,12.35,N/A,N/A,N/A,N/A,N/A,1/14/2019,FR0013393329,H20MESR FP Equity,"EUR Acc , USD Acc , USD Acc  (H) , SGD Acc  ",Yes,No,5,0%,Yes,Restricted,SFC Unauthorized,TBC,Yes,Yes,2.00%,Capital Appreciation,N/A,> 10 years,Daily,Daily,No,Yes,Daily Liquidity, 
"Managed Fund / Winton Capital Management Fund - HU
(Lyxor)",http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing Materials/Forms/AllItems.aspx,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Lyxor/Winton%20Capital%20Management%20Fund,No,,,,,,,,,,,,LYWCHUM JY EQUITY,"USD Acc , USD Acc , EUR Acc  ",Yes,No,5,35%,Yes,Restricted,SFC Unauthorized,No,Yes,No,5.00%,Capital Appreciation,N/A,> 10 years,Weekly,Weekly,No,Yes,"Weekly Liquidity, refer to intranet for subscription  redemption procedure", 
Hedge Funds - Multi-Strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
"Antarctica Alpha Access Portfolio SPC Ltd - MLS Fund Segregated Portfolio (""AAAP - MLS Fund"") (Class B)
(Not available for subscription)",http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing Materials/Forms/AllItems.aspx,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Antartica%20Alpha%20Access%20Portfolio%20SPC%20Ltd/MLS%20Fund,No,USD,7/31/2019,0.68,N/A,4.43,N/A,5.46,N/A,N/A,1/7/17,VGG0395J4019,N/A,USD Acc  ,Yes,No,5,0%,Yes,Restricted,SFC Unauthorized,Yes,"Yes, if Suitable",No,2.00%,Capital Appreciation,N/A,> 10 years,"Monthly, but not available for subscription",Quarterly,No,Yes,"Monthly subscription & Quarterly redemption, up to 25% of shareholder may be redeemed in any quarter, refer to intranet for subscription  redemption procedure", 
Managed Fund / AQR Systematic Total Return Fund Ltd - HU (Lyxor),http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing Materials/Forms/AllItems.aspx,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Lyxor/AQR%20Systematic%20Total%20Return%20Fund%20Ltd,Yes,,,,,,,,,,,,LYAQRHU JY EQUITY,"USD Acc , USD Acc , EUR Acc  (H) , GBP Acc  (H)",Yes,No,5,35%,Yes,Restricted,SFC Unauthorized,No,Yes,No,5.00%,Capital Appreciation,N/A,> 10 years,Weekly,Weekly,No,Yes,"Weekly Liquidity, refer to intranet for subscription  redemption procedure", 
"Nineteen77 Global Multi Strategic Apha
(Source: UBS. BOS can only subscribe into the FIM3 share class)",http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing Materials/Forms/AllItems.aspx,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/O%20Connor,Yes,USD,7/31/2019,0.96,N/A,6.02,6.7,2.89,1.99,4.23,1/6/00,XD0308579479,N/A,"USD Acc  (H) , EUR Acc  (H) , CHF Acc  (H) , SGD Acc  (H)",Yes,No,5,20%,Yes,Restricted,SFC Unauthorized,Yes,"Yes, if Suitable",No,3.00%,Capital Appreciation,N/A,> 10 years,Monthly,Quarterly (notice by last business day of the first month of the quarter),No,Yes,"Monthly subscription & Quarterly redemption, refer to intranet for subscription  redemption procedure", 
Hedge Funds - Equity Long / Short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
"Managed Fund / Marshall Wace TOPS Fund - HE
(Lyxor)",http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing Materials/Forms/AllItems.aspx,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Lyxor/Marshall%20Wace%20Tops%20Fund%20Limited,No,,,,,,,,,,,,LYXMWHE JY EQUITY,"EUR Acc  (H) , USD Acc , USD Acc  ",Yes,No,5,35%,Yes,Restricted,SFC Unauthorized,No,Yes,No,5.00%,Capital Appreciation,N/A,> 10 years,Weekly,Weekly,No,Yes,"Weekly Liquidity, refer to intranet for subscription  redemption procedure", 
"Managed Fund / Sandler Plus Offshore Fund - HU
(Lyxor)",http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing Materials/Forms/AllItems.aspx,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Lyxor/Sandler%20Plus%20Offshore%20Fund%20Limited,No,,,,,,,,,,,,LYXSPHU JY EQUITY,"USD Acc , EUR Acc  ",Yes,No,5,35%,Yes,Restricted,SFC Unauthorized,No,Yes,No,5.00%,Capital Appreciation,N/A,> 10 years,Weekly,Weekly,No,Yes,"Weekly Liquidity, refer to intranet for subscription  redemption procedure", 
Neuberger Berman US Long Short Equity USD A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00BJTD4V19,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Neuberger%20Berman/US%20Long%20Short%20Equity,No,USD,10/10/19,-0.85,0,11.91,4.3,5.4,3.24,6.44,4/3/14,IE00BJTD4V19,NBULSUA ID EQUITY,"USD Acc , SGD Acc  (H)",Yes,No,5,50%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 10 years,Daily,Daily,No,Yes,, 
"Antarctica Alpha Access Portfolio SPC Ltd - FHE Fund Segregated Portfolio (""AAAP - FHE Fund"") (Class B)",http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing Materials/Forms/AllItems.aspx,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Antartica%20Alpha%20Access%20Portfolio%20SPC%20Ltd/FHE%20Fund,No,USD,7/31/2019,-0.88,N/A,-2.75,N/A,9.59,N/A,N/A,N/A,VGG039475311,NA,USD Acc,No,No,5,15%,Yes,Restricted,SFC Unauthorized,Yes,"Yes, if Suitable",No,2.00%,Capital Appreciation,N/A,> 10 years,"Monthly, with 5 biz day notice","Monthly, with 35 calendar days notice",No,Yes,,
Hedge Funds - Event Driven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
